Draw Date,,,Winning Numbers,,,,,,,,,,,,,,
5/29/2021,70,,1,32,38,42,45,53,25,0,0,0,0,0,0,0,0
5/26/2021,71,,10,11,19,32,46,58,4,0,0,0,0,0,0,0,0
5/22/2021,72,,8,10,17,20,31,52,33,0,0,0,0,0,0,0,0
5/19/2021,73,,27,29,32,44,49,58,1,0,0,0,0,0,0,0,0
5/15/2021,74,,1,6,19,39,49,57,50,0,0,0,0,0,0,0,0
5/12/2021,75,,2,39,40,43,53,57,35,1,0,0,0,0,0,0,1
5/8/2021,76,,29,34,36,40,47,54,12,0,0,0,0,0,0,0,0
5/5/2021,77,,20,22,28,30,51,54,14,0,0,0,0,0,0,0,0
5/1/2021,78,,7,16,25,33,35,49,19,0,0,0,0,0,0,0,0
4/28/2021,79,,15,17,20,29,38,42,6,0,0,0,0,0,0,0,0
4/24/2021,80,,5,27,40,46,49,50,48,0,0,0,0,0,0,0,0
4/21/2021,81,,5,19,28,31,32,52,1,0,0,0,0,0,0,0,0
4/17/2021,82,,14,15,22,30,35,48,16,0,0,0,0,0,0,0,0
4/14/2021,83,,8,26,34,41,44,48,17,0,0,0,0,0,0,0,0
4/10/2021,84,,15,25,29,54,57,59,43,0,0,0,0,0,0,0,0
4/7/2021,85,,2,6,7,20,24,43,53,1,0,0,0,0,0,0,1
4/3/2021,86,,4,5,18,35,51,52,25,0,0,0,0,0,0,0,0
3/31/2021,87,,9,30,32,46,49,53,22,0,0,0,0,0,0,0,0
3/27/2021,88,,1,4,7,14,23,52,3,0,0,0,0,0,0,0,0
3/24/2021,89,,1,10,20,29,48,57,45,0,0,0,0,0,0,0,0
3/20/2021,90,,13,17,20,26,32,33,5,0,0,0,0,0,0,0,0
3/17/2021,91,,13,21,25,36,39,56,45,0,0,0,0,0,0,0,0
3/13/2021,92,,11,15,18,31,42,58,27,0,0,0,0,0,0,0,0
3/10/2021,93,,18,23,24,31,40,58,47,0,0,0,0,0,0,0,0
3/6/2021,94,,10,26,35,38,41,51,52,0,0,0,0,0,0,0,0
3/3/2021,95,,8,19,32,38,43,47,5,0,0,0,0,0,0,0,0
2/27/2021,96,,2,10,11,13,18,36,43,1,0,0,0,0,0,0,1
2/24/2021,97,,11,19,20,23,53,54,49,0,0,0,0,0,0,0,0
2/20/2021,98,,4,16,28,34,40,45,47,0,0,0,0,0,0,0,0
2/17/2021,99,,14,21,22,24,26,51,37,0,0,0,0,0,0,0,0
2/13/2021,100,,5,30,37,44,49,54,40,0,0,0,0,0,0,0,0
2/10/2021,101,,8,23,30,47,48,57,7,0,0,0,0,0,0,0,0
2/6/2021,102,,10,27,31,36,49,56,38,0,0,0,0,0,0,0,0
2/3/2021,103,,2,11,13,29,42,59,26,1,0,0,0,0,0,0,1
1/30/2021,104,,7,10,12,27,40,45,48,0,0,0,0,0,0,0,0
1/27/2021,105,,4,33,40,47,49,50,51,0,0,0,0,0,0,0,0
1/23/2021,106,,28,44,45,52,56,57,54,0,0,0,0,0,0,0,0
1/20/2021,107,,23,26,42,52,54,55,47,0,0,0,0,0,0,0,0
1/16/2021,108,,4,13,16,29,44,51,20,0,0,0,0,0,0,0,0
1/13/2021,109,,15,24,44,52,54,57,35,0,0,0,0,0,0,0,0
1/9/2021,110,,16,30,34,43,46,50,29,0,0,0,0,0,0,0,0
1/6/2021,111,,2,4,11,45,48,58,12,1,0,0,0,0,0,0,1
1/2/2021,112,,2,29,31,35,39,48,10,1,0,0,0,0,0,0,1
12/30/2020,113,,1,10,37,49,53,57,46,0,0,0,0,0,0,0,0
12/26/2020,114,,9,13,20,36,58,59,16,0,0,0,0,0,0,0,0
12/23/2020,115,,1,7,16,21,43,45,34,0,0,0,0,0,0,0,0
12/19/2020,116,,1,9,14,21,56,57,18,0,0,0,0,0,0,0,0
12/16/2020,117,,15,22,44,47,49,52,25,0,0,0,0,0,0,0,0
12/12/2020,118,,7,13,16,29,33,56,53,0,0,0,0,0,0,0,0
12/9/2020,119,,19,20,34,40,46,49,48,0,0,0,0,0,0,0,0
12/5/2020,120,,5,16,37,49,55,57,50,0,0,0,0,0,0,0,0
12/2/2020,121,,10,30,32,37,38,54,47,0,0,0,0,0,0,0,0
11/28/2020,122,,6,18,34,40,47,51,31,0,0,0,0,0,0,0,0
11/25/2020,123,,33,41,45,50,54,56,6,0,0,0,0,0,0,0,0
11/21/2020,124,,27,36,40,43,45,53,46,0,0,0,0,0,0,0,0
11/18/2020,125,,6,9,31,36,43,49,17,0,0,0,0,0,0,0,0
11/14/2020,126,,3,6,12,17,24,52,44,0,0,0,0,0,0,0,0
11/11/2020,127,,3,11,36,44,47,48,13,0,0,0,0,0,0,0,0
11/7/2020,128,,3,10,18,32,42,44,36,0,0,0,0,0,0,0,0
11/4/2020,129,,7,31,35,42,43,50,19,0,0,0,0,0,0,0,0
10/31/2020,130,,5,15,19,21,37,57,11,0,0,0,0,0,0,0,0
10/28/2020,131,,10,16,18,30,49,50,59,0,0,0,0,0,0,0,0
10/24/2020,132,,9,10,15,24,25,57,34,0,0,0,0,0,0,0,0
10/21/2020,133,,15,22,24,30,50,59,38,0,0,0,0,0,0,0,0
10/17/2020,134,,8,10,17,19,34,47,30,0,0,0,0,0,0,0,0
10/14/2020,135,,10,35,36,42,54,55,48,0,0,0,0,0,0,0,0
10/10/2020,136,,8,11,15,32,47,58,6,0,0,0,0,0,0,0,0
10/7/2020,137,,11,13,19,37,50,55,8,0,0,0,0,0,0,0,0
